cycle,Year,Larvae,Juveniles,Adults,Total
1,-0.416667,658,1396,0,2054
2,-0.333333,66,1069,239,1374
3,-0.25,287,692,376,1355
4,-0.166667,788,470,496,1754
5,-0.0833333,1357,388,566,2311
6,0.0,1510,503,597,2610
7,0.0833333,1140,588,646,2374
8,0.166667,565,746,566,1877
9,0.25,167,753,503,1423
10,0.333333,22,634,471,1127
11,0.416667,0,450,499,949
12,0.5,5,277,571,853
13,0.583333,39,127,636,802
14,0.666667,150,42,666,858
15,0.75,511,25,641,1177
16,0.833333,1150,66,611,1827
17,0.916667,1489,230,541,2260
18,1.0,1329,526,471,2326
19,1.08333,866,716,415,1997
20,1.16667,355,830,366,1551
21,1.25,106,771,345,1222
22,1.33333,25,611,373,1009
23,1.41667,4,418,452,874
24,1.5,11,244,541,796
25,1.58333,33,91,615,739
26,1.66667,177,39,624,840
27,1.75,519,21,601,1141
28,1.83333,1047,81,558,1686
29,1.91667,1457,237,512,2206
30,2.0,1274,514,455,2243
31,2.08333,757,721,401,1879
32,2.16667,363,773,353,1489
33,2.25,123,728,330,1181
34,2.33333,24,569,368,961
35,2.41667,6,384,445,835
36,2.5,6,203,544,753
37,2.58333,24,94,576,694
38,2.66667,140,27,609,776
39,2.75,423,17,583,1023
40,2.83333,931,72,535,1538
41,2.91667,1422,190,487,2099
42,3.0,1328,450,427,2205
43,3.08333,758,707,375,1840
44,3.16667,287,787,336,1410
45,3.25,77,697,327,1101
46,3.33333,12,546,359,917
47,3.41667,0,364,448,812
48,3.5,9,192,539,740
49,3.58333,33,73,595,701
50,3.66667,119,25,604,748
51,3.75,435,18,574,1027
52,3.83333,1005,58,530,1593
53,3.91667,1429,212,483,2124
54,4.0,1255,492,418,2165
55,4.08333,730,730,353,1813
56,4.16667,299,790,292,1381
57,4.25,76,730,284,1090
58,4.33333,19,586,294,899
59,4.41667,3,391,389,783
60,4.5,3,203,503,709
61,4.58333,21,81,570,672
62,4.66667,110,18,581,709
63,4.75,429,10,558,997
64,4.83333,978,46,517,1541
65,4.91667,1307,202,474,1983
66,5.0,1218,430,417,2065
67,5.08333,792,615,357,1764
68,5.16667,306,737,306,1349
69,5.25,69,691,286,1046
70,5.33333,3,523,319,845
71,5.41667,0,353,381,734
72,5.5,7,188,477,672
73,5.58333,31,56,553,640
74,5.66667,137,13,545,695
75,5.75,426,17,514,957
76,5.83333,908,63,470,1441
77,5.91667,1243,193,438,1874
78,6.0,1109,429,384,1922
79,6.08333,687,640,334,1661
80,6.16667,296,696,290,1282
81,6.25,81,660,274,1015
82,6.33333,11,528,298,837
83,6.41667,0,340,390,730
84,6.5,0,175,485,660
85,6.58333,20,71,539,630
86,6.66667,154,17,560,731
87,6.75,472,11,533,1016
88,6.83333,950,71,484,1505
89,6.91667,1316,232,449,1997
90,7.0,1218,480,401,2099
91,7.08333,743,699,354,1796
92,7.16667,309,783,322,1414
93,7.25,110,729,303,1142
94,7.33333,31,584,330,945
95,7.41667,1,383,420,804
96,7.5,4,210,519,733
97,7.58333,37,78,589,704
98,7.66667,154,26,602,782
99,7.75,469,23,543,1035
100,7.83333,979,71,505,1555
101,7.91667,1316,228,457,2001
102,8.0,1246,470,396,2112
103,8.08333,849,670,349,1868
104,8.16667,356,744,312,1412
105,8.25,76,708,300,1084
106,8.33333,9,579,337,925
107,8.41667,1,390,404,795
108,8.5,4,225,492,721
109,8.58333,17,93,579,689
110,8.66667,149,23,612,784
111,8.75,461,13,580,1054
112,8.83333,984,76,528,1588
113,8.91667,1382,231,482,2095
114,9.0,1232,529,429,2190
115,9.08333,744,722,370,1836
116,9.16667,305,769,323,1397
117,9.25,89,701,316,1106
118,9.33333,19,537,350,906
119,9.41667,0,366,438,804
120,9.5,1,198,525,724
121,9.58333,27,79,590,696
122,9.66667,182,19,596,797
123,9.75,540,14,554,1108
124,9.83333,983,93,510,1586
125,9.91667,1260,283,460,2003
126,10.0,1154,491,422,2067
127,10.0833,773,684,357,1814
128,10.1667,326,785,312,1423
129,10.25,69,720,310,1099
130,10.3333,29,551,354,934
131,10.4167,7,386,416,809
132,10.5,1,209,514,724
133,10.5833,21,85,579,685
134,10.6667,119,20,592,731
135,10.75,475,12,569,1056
136,10.8333,1044,59,522,1625
137,10.9167,1394,220,471,2085
138,11.0,1247,490,424,2161
139,11.0833,818,705,369,1892
140,11.1667,381,803,324,1508
141,11.25,100,743,309,1152
142,11.3333,20,584,344,948
143,11.4167,6,381,445,832
144,11.5,3,209,537,749
145,11.5833,22,81,600,703
146,11.6667,132,26,611,769
147,11.75,479,17,578,1074
148,11.8333,1007,63,527,1597
149,11.9167,1345,225,475,2045
150,12.0,1280,472,414,2166
151,12.0833,826,674,367,1867
152,12.1667,350,769,326,1445
153,12.25,105,715,287,1107
154,12.3333,18,580,326,924
155,12.4167,10,391,412,813
156,12.5,7,228,504,739
157,12.5833,35,89,571,695
158,12.6667,146,29,582,757
159,12.75,441,22,565,1028
160,12.8333,897,68,514,1479
161,12.9167,1300,211,468,1979
162,13.0,1217,442,421,2080
163,13.0833,718,670,368,1756
164,13.1667,264,748,325,1337
165,13.25,54,681,297,1032
166,13.3333,21,509,337,867
167,13.4167,4,361,413,778
