cycle,Year,Larvae,Juveniles,Adults,Total
1,-0.416667,635,1980,0,2615
2,-0.333333,57,1446,330,1833
3,-0.25,365,831,507,1703
4,-0.166667,1010,548,596,2154
5,-0.0833333,1695,515,639,2849
6,0.0,1747,783,623,3153
7,0.0833333,1176,1111,594,2881
8,0.166667,558,1240,488,2286
9,0.25,158,1176,409,1743
10,0.333333,31,939,393,1363
11,0.416667,9,684,423,1116
12,0.5,0,384,572,956
13,0.583333,42,176,647,865
14,0.666667,178,56,691,925
15,0.75,555,43,673,1271
16,0.833333,1156,136,616,1908
17,0.916667,1545,424,544,2513
18,1.0,1290,835,454,2579
19,1.08333,719,1172,375,2266
20,1.16667,295,1187,313,1795
21,1.25,74,1031,282,1387
22,1.33333,20,766,325,1111
23,1.41667,4,470,437,911
24,1.5,10,232,548,790
25,1.58333,19,96,599,714
26,1.66667,148,35,600,783
27,1.75,439,16,578,1033
28,1.83333,897,123,537,1557
29,1.91667,1283,341,468,2092
30,2.0,1194,691,393,2278
31,2.08333,761,1008,332,2101
32,2.16667,276,1109,280,1665
33,2.25,35,1024,269,1328
34,2.33333,14,740,287,1041
35,2.41667,2,472,378,852
36,2.5,2,247,495,744
37,2.58333,17,87,571,675
38,2.66667,125,13,580,718
39,2.75,448,15,550,1013
40,2.83333,943,105,499,1547
41,2.91667,1211,365,437,2013
42,3.0,1051,731,357,2139
43,3.08333,593,988,289,1870
44,3.16667,228,1065,241,1534
45,3.25,86,863,233,1182
46,3.33333,6,645,299,950
47,3.41667,0,415,397,812
48,3.5,2,227,487,716
49,3.58333,14,86,562,662
50,3.66667,129,29,560,718
51,3.75,419,13,545,977
52,3.83333,917,107,513,1537
53,3.91667,1269,315,444,2028
54,4.0,1107,689,376,2172
55,4.08333,645,959,320,1924
56,4.16667,263,1077,274,1614
57,4.25,81,906,261,1248
58,4.33333,10,711,281,1002
59,4.41667,0,459,365,824
60,4.5,2,253,476,731
61,4.58333,33,102,560,695
62,4.66667,146,37,580,763
63,4.75,477,33,555,1065
64,4.83333,961,121,517,1599
65,4.91667,1288,387,454,2129
66,5.0,1182,738,379,2299
67,5.08333,677,1018,306,2001
68,5.16667,236,1074,269,1579
69,5.25,67,920,255,1242
70,5.33333,19,705,282,1006
71,5.41667,4,464,382,850
72,5.5,6,233,500,739
73,5.58333,9,96,559,664
74,5.66667,136,32,566,734
75,5.75,451,13,542,1006
76,5.83333,897,106,495,1498
77,5.91667,1275,339,444,2058
78,6.0,1127,683,378,2188
79,6.08333,622,984,315,1921
80,6.16667,223,1062,253,1538
81,6.25,46,936,216,1198
82,6.33333,17,694,255,966
83,6.41667,3,436,354,793
84,6.5,3,227,464,694
85,6.58333,38,78,544,660
86,6.66667,151,20,556,727
87,6.75,426,42,518,986
88,6.83333,839,131,487,1457
89,6.91667,1211,355,428,1994
90,7.0,1151,686,377,2214
91,7.08333,720,997,307,2024
92,7.16667,295,1034,242,1571
93,7.25,63,911,242,1216
94,7.33333,21,696,256,973
95,7.41667,2,460,355,817
96,7.5,0,249,453,702
97,7.58333,13,108,527,648
98,7.66667,134,28,550,712
99,7.75,439,17,521,977
100,7.83333,872,119,484,1475
101,7.91667,1215,352,424,1991
102,8.0,1109,693,359,2161
103,8.08333,642,994,298,1934
104,8.16667,240,1082,236,1558
105,8.25,51,946,225,1222
106,8.33333,7,713,272,992
107,8.41667,2,460,377,839
108,8.5,0,220,509,729
109,8.58333,13,74,563,650
110,8.66667,110,18,567,695
111,8.75,371,13,538,922
112,8.83333,878,93,496,1467
113,8.91667,1288,288,452,2028
114,9.0,1173,672,369,2214
115,9.08333,692,997,292,1981
116,9.16667,241,1086,239,1566
117,9.25,45,945,217,1207
118,9.33333,7,708,237,952
119,9.41667,5,469,335,809
120,9.5,7,248,459,714
121,9.58333,17,89,557,663
122,9.66667,112,24,563,699
123,9.75,447,20,528,995
124,9.83333,929,91,480,1500
125,9.91667,1205,340,442,1987
126,10.0,1118,687,373,2178
127,10.0833,684,969,302,1955
128,10.1667,243,1075,252,1570
